fingerprint,category,input,json_result,ujson_result,detail_path
e2ba905bf306f46faca223d3cb20e2cf,exception_message,'\x08',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
e2ba905bf306f46faca223d3cb20e2cf,exception_message,'\x08',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
84c40473414caf2ed4a7b1283e48bbf4,exception_message,'(',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
2510c39011c5be704182423e3a695e91,exception_message,'h',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
485bdbacefe22344f6e78ca58a669242,exception_message,'R\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
5bf571a9c988ab1443cee2916b841a64,exception_message,'R\nR',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
d809c6c796730d1310776eea43b9c05b,exception_message,'\nRR',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
5d04ebbb27b948d574214f3d5eaed46b,exception_message,'\nR\x12',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
5d04ebbb27b948d574214f3d5eaed46b,exception_message,'\nR\x12',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
8520e59c80a37779240a4be4112080e1,exception_message,'\n\n&',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
8520e59c80a37779240a4be4112080e1,exception_message,'\n\n&',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
d6eed96efcedf8ca734746c76a5eaa81,exception_message,'\n\n\n&',EXCEPTION: JSONDecodeError: Expecting value: line 4 column 1 (char 3),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
74bc5dbda2125bd0da4c244a530fbabf,exception_message,'[\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
74bc5dbda2125bd0da4c244a530fbabf,exception_message,'[\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
dd49ef802bd555cff80bffb26c4cd5f3,exception_message,'[\x02',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 2 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
fd3ba6fa132c34aff2476c18fe928668,exception_message,"',\n'",EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
f7061c4d939663e9ca271ecb65ae07ce,exception_message,"',\n>'",EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
f7061c4d939663e9ca271ecb65ae07ce,exception_message,"',\n>'",EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
d6f2ca7aad4f3e0798a311b3d5863ee4,exception_message,"',\n\n>'",EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
cc214bd125c89be94dab6970a2dfd5e3,exception_message,'\n>',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
cedf8da05466bb54708268b3c694a78f,exception_message,'>',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
3389dae361af79b04c9c8e7057f60cc6,exception_message,'*',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
514faf5a71b4f0f67374c388f37aa0d7,exception_message,'**',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
514faf5a71b4f0f67374c388f37aa0d7,exception_message,'**',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
514faf5a71b4f0f67374c388f37aa0d7,exception_message,'**',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
529556dc6ddd03b414c622800332f15e,exception_message,'*X*',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
3389dae361af79b04c9c8e7057f60cc6,exception_message,'*',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
3389dae361af79b04c9c8e7057f60cc6,exception_message,'*',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
514faf5a71b4f0f67374c388f37aa0d7,exception_message,'**',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
cf2d983d4b7379c4730a55c2942f845e,exception_message,'*1',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
93b885adfe0da089cdf634904fd59f71,exception_message,'\x00',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
a9694d0bbbd90a46c5900d203edfcb87,exception_message,'\nh',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
d7e0e029554efc239d3fb4a617d9e094,exception_message,'\n\x08',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e2ba905bf306f46faca223d3cb20e2cf,exception_message,'\x08',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
bebe43a13d6320b4c6751958bf5398a7,exception_message,'\x1a',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
43ec3e5dee6e706af7766fffea512721,exception_message,'=',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
43ec3e5dee6e706af7766fffea512721,exception_message,'=',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
2063849717d32dd19e534b77cabac517,exception_message,'==',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
337a90d0d87bb85599952c5eb1ea6b2a,exception_message,'q\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
